Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
6;Métro;BIBLIOTHEQUE;10002396;14;;;;;Paris;13
11;Métro;CHATELET;6030558;1;4;7;11;14;Paris;1
15;Métro;PORTE DE CLIGNANCOURT;4902116;4;;;;;Paris;18
16;Métro;NATION;4860619;1;2;6;9;;Paris;12
22;Métro;FRANKLIN D. ROOSEVELT;4691237;1;9;;;;Paris;8
26;Métro;STRASBOURG-SAINT-DENIS;4275630;4;8;9;;;Paris;2
31;Métro;LA CHAPELLE;3825879;2;;;;;Paris;9
33;Métro;CHATILLON-MONTROUGE;3738453;13;;;;;Chatillon;
40;Métro;BARBES-ROCHECHOUART;3530780;2;4;;;;Paris;18
41;Métro;OPERA;3519216;3;7;8;;;Paris;9
45;Métro;SAINT-PAUL;3357660;1;;;;;Paris;4
53;Métro;CHARLES DE GAULLE-ETOILE;3152200;1;2;6;;;Paris;8
60;Métro;CROIX DE CHAVAUX;2839164;9;;;;;Montreuil;
65;Métro;CRIMEE;2688758;7;;;;;Paris;19
68;Métro;GABRIEL PERI;2667469;13;;;;;Asnières;
73;Métro;PASTEUR;2625552;6;12;;;;Paris;9
74;Métro;MIROMESNIL;2618473;9;13;;;;Paris;8
75;Métro;CONCORDE;2617251;1;8;12;;;Paris;8
76;Métro;BASILIQUE DE SAINT-DENIS;2616421;13;;;;;Saint Denis;
79;Métro;PLAISANCE;2590236;13;;;;;Paris;14
86;Métro;OBERKAMPF;2462989;5;9;;;;Paris;11
95;Métro;MAIRIE DE SAINT-OUEN;2373142;13;14;;;;Saint Ouen;
97;Métro;PORTE DE PANTIN;2336476;5;;;;;Paris;19
115;Métro;LAUMIERE;2107812;5;;;;;Paris;19
118;Métro;OURCQ;2064168;5;;;;;Paris;19
119;Métro;PORTE DE SAINT-OUEN;2060676;13;;;;;Paris;17
120;Métro;PORTE DES LILAS;2021179;3bis;11;;;;Paris;20
125;Métro;CRETEIL-UNIVERSITE;1935234;8;;;;;Créteil;
130;Métro;ARTS ET METIERS;1844332;3;11;;;;Paris;3
131;Métro;DUPLEIX;1839499;6;;;;;Paris;15
136;Métro;JULES JOFFRIN;1806947;12;;;;;Paris;18
137;Métro;MAIRIE D'IVRY;1800848;7;;;;;Ivry;
142;Métro;LES GOBELINS;1733427;7;;;;;Paris;13
145;Métro;VAUGIRARD;1709593;12;;;;;Paris;15
147;Métro;RUE DE LA POMPE;1700312;9;;;;;Paris;16
152;Métro;BLANCHE;1680852;2;;;;;Paris;9
154;Métro;ANATOLE FRANCE;1668656;3;;;;;Levallois-Perret;
159;Métro;COMMERCE;1616379;8;;;;;Paris;15
161;Métro;SENTIER;1601006;3;;;;;Paris;3
162;Métro;BOULOGNE-PONT DE SAINT-CLOUD;1588193;10;;;;;Boulogne Billancourt;
172;Métro;MARX DORMOY;1544166;12;;;;;Paris;18
177;Métro;LA FOURCHE;1499508;13;;;;;Paris;8
180;Métro;PORTE D'ITALIE;1458709;7;;;;;Paris;13
183;Métro;BOURSE;1417882;3;;;;;Paris;2
196;Métro;CORENTIN CARIOU;1329810;7;;;;;Paris;19
218;Métro;SAINT-SULPICE;1196573;4;;;;;Paris;6
220;Métro;TELEGRAPHE;1194040;11;;;;;Paris;20
227;Métro;RICHARD LENOIR;1148587;5;;;;;Paris;11
230;Métro;MICHEL-ANGE-AUTEUIL;1131814;9;10;;;;Paris;16
231;Métro;LOURMEL;1120497;8;;;;;Paris;15
234;Métro;BUZENVAL;1080500;9;;;;;Paris;20
238;Métro;AVRON;1034013;2;;;;;Paris;11
246;Métro;MAISON BLANCHE;955254;7;;;;;Paris;13
256;Métro;MONCEAU;902347;2;;;;;Paris;17
257;Métro;SAINT-JACQUES;900155;6;;;;;Paris;13
258;Métro;MOUTON-DUVERNET;870679;4;;;;;Paris;14
270;Métro;PIERRE CURIE;780043;7;;;;;Ivry;
275;Métro;CITE;741182;4;;;;;Paris;4
276;Métro;LIEGE;740144;13;;;;;Paris;8
280;Métro;CARDINAL LEMOINE;710141;10;;;;;Paris;5
287;Métro;QUAI DE LA RAPEE;525558;5;;;;;Paris;12
289;Métro;SAINT-GEORGES;523670;12;;;;;Paris;9
296;Métro;CHARDON-LAGACHE;331901;10;;;;;Paris;16
303;Métro;PONT CARDINET;112229;14;;;;;Paris;17
3;RER;CHATELET-LES HALLES-RER;18301464;A;B;;;;Paris;1
4;RER;LA DEFENSE-RER;16349130;A;;;;;Puteaux;
6;RER;VAL DE FONTENAY;7985198;A;;;;;Fontenay-sous-Bois;
7;RER;MASSY-PALAISEAU;5163200;B;;;;;Massy;
18;RER;ANTONY;2790880;B;;;;;Antony;
26;RER;JOINVILLE-LE-PONT;2314407;A;;;;;Joinville-le-Pont;
30;RER;NANTERRE-UNIVERSITE;2024836;A;;;;;Nanterre;
34;RER;NOISIEL;1868878;A;;;;;Noisiel;
35;RER;PORT ROYAL;1824145;B;;;;;Paris;5
38;RER;NOGENT-SUR-MARNE;1703324;A;;;;;Nogent-sur-Marne;
39;RER;FONTENAY-SOUS-BOIS;1586673;A;;;;;Fontenay-sous-Bois;
46;RER;CHATOU-CROISSY;1230132;A;;;;;Chatou;
49;RER;LE VESINET-LE PECQ;1156100;A;;;;;Le Vésinet;
57;RER;FONTAINE-MICHALON;425164;B;;;;;Antony;
62;RER;GIF-SUR-YVETTE;324780;B;;;;;Gif sur Yvette;
64;RER;PARC DE SCEAUX;286202;B;;;;;Antony;
13;Métro;HOTEL DE VILLE;5673100;1;11;;;;Paris;4
18;Métro;MAIRIE DE MONTREUIL;4764601;9;;;;;Montreuil;
20;Métro;BOBIGNY-PABLO PICASSO;4752569;5;;;;;Bobigny;
